epoch,train_loss,train_acc,val_loss,val_acc
1,1.0216,0.5469,1.0277,0.5000
2,0.7431,0.7188,0.8352,0.5500
3,0.6520,0.7656,0.6547,0.7500
4,0.5242,0.7969,0.5204,0.9000
5,0.5130,0.8125,0.4517,0.9000
6,0.3712,0.8906,0.4210,0.9000
7,0.3600,0.8750,0.3991,0.9000
8,0.2679,0.9062,0.3535,0.9000
9,0.3831,0.8594,0.3165,0.9000
10,0.2828,0.9219,0.2940,0.9000
11,0.2557,0.8906,0.3022,0.9000
12,0.3103,0.9062,0.3264,0.9000
13,0.2291,0.9062,0.3477,0.8500
14,0.2016,0.9531,0.3468,0.8500
15,0.1827,0.9844,0.3343,0.8500
16,0.1936,0.9531,0.3159,0.8500
17,0.2316,0.9062,0.3027,0.8500
18,0.2346,0.9062,0.3137,0.8500
19,0.2225,0.9062,0.3214,0.8500
20,0.1786,0.9219,0.3371,0.8000
21,0.2146,0.8906,0.3422,0.8000
22,0.1861,0.9219,0.3380,0.8000
23,0.2094,0.8906,0.3309,0.8000
24,0.2312,0.9375,0.3273,0.8000
25,0.2392,0.8438,0.3257,0.8000
26,0.1587,0.9375,0.3237,0.8000
27,0.1758,0.9375,0.3219,0.8000
28,0.2172,0.9062,0.3216,0.8000
29,0.2237,0.8906,0.3208,0.8000
30,0.1783,0.9375,0.3208,0.8000
