epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.84956,1.54609,5.07947,1.12009,0.00258,0.03009,0.0002,6e-05,2.76556,7.33155,2.00691,0.00034296,0.00034296,0.00034296
2,12.6203,1.37555,2.20156,1.03476,0.00064,0.04861,8e-05,1e-05,2.9042,6.19646,2.19432,0.000693278,0.000693278,0.000693278
3,18.4493,1.4876,1.88711,1.05342,0.00068,0.05046,0.0001,1e-05,2.66934,5.21781,2.12991,0.00103652,0.00103652,0.00103652
4,24.2575,1.38622,1.55272,1.04243,0.00033,0.03611,5e-05,1e-05,2.74286,5.82061,2.25554,0.00137269,0.00137269,0.00137269
5,30.0923,1.46906,1.29316,1.03048,0.00101,0.125,0.00047,7e-05,2.88638,5.55102,2.48237,0.00137241,0.00137241,0.00137241
6,35.9792,1.38427,1.23536,1.03995,8e-05,0.01667,0,0,3.84779,5.10272,3.42729,0.00135826,0.00135826,0.00135826
7,41.6555,1.37983,1.06743,1.03903,4e-05,0.00833,0,0,3.85086,5.12535,3.92464,0.00134412,0.00134412,0.00134412
8,47.3957,1.34787,1.04972,1.02216,0,0,0,0,4.96595,5.85843,5.48696,0.00132997,0.00132997,0.00132997
9,53.1715,1.29305,1.07232,0.99839,0,0,0,0,3.28581,6.69344,2.56571,0.00131582,0.00131582,0.00131582
10,58.91,1.32213,0.91397,1.0273,0,0,0,0,3.39644,5.94528,2.9197,0.00130168,0.00130168,0.00130168
11,64.5972,1.29917,0.73472,0.97986,0,0,0,0,3.74564,5.9224,3.66913,0.00128753,0.00128753,0.00128753
12,70.3635,1.33976,0.81569,1.02753,0,0,0,0,3.94245,6.52826,3.71258,0.00127338,0.00127338,0.00127338
13,76.1737,1.33636,0.80227,1.00326,0,0,0,0,4.25959,6.12069,4.10039,0.00125923,0.00125923,0.00125923
14,82.0003,1.28892,0.79188,1.0114,0,0,0,0,4.95097,4.70601,5.01799,0.00124509,0.00124509,0.00124509
15,87.8334,1.30398,0.69543,1.00805,0,0,0,0,5.40215,4.29089,5.32179,0.00123094,0.00123094,0.00123094
16,93.6246,1.27074,0.76067,0.98633,0,0,0,0,5.63839,4.04679,5.82419,0.00121679,0.00121679,0.00121679
17,99.3653,1.33667,0.66432,1.00307,0,0,0,0,5.50508,5.29301,5.98618,0.00120265,0.00120265,0.00120265
18,105.162,1.32276,0.67018,1.02084,0,0,0,0,5.58475,7.27145,6.16469,0.0011885,0.0011885,0.0011885
19,110.939,1.27365,0.63545,0.99914,0,0,0,0,5.74541,7.57413,6.26647,0.00117435,0.00117435,0.00117435
20,116.624,1.36777,0.63273,1.00146,0,0,0,0,5.76209,7.20335,6.26765,0.00116021,0.00116021,0.00116021
21,122.525,1.25884,0.60118,0.99997,0,0,0,0,5.51336,5.3663,5.73792,0.00114606,0.00114606,0.00114606
22,128.202,1.29164,0.58098,1.00221,0,0,0,0,5.30636,4.80771,5.43779,0.00113191,0.00113191,0.00113191
23,133.943,1.30171,0.60192,0.99861,0,0,0,0,5.27295,4.76884,5.38778,0.00111776,0.00111776,0.00111776
24,139.699,1.22212,0.57612,0.99983,0,0,0,0,5.28238,5.18885,5.51001,0.00110362,0.00110362,0.00110362
25,145.406,1.2042,0.55062,0.97993,0,0,0,0,5.3297,4.95761,5.79332,0.00108947,0.00108947,0.00108947
26,151.185,1.27877,0.57307,1.02066,0,0,0,0,5.41855,5.32116,6.28209,0.00107532,0.00107532,0.00107532
27,156.848,1.29722,0.63175,0.9648,0,0,0,0,5.45754,5.27455,6.39075,0.00106118,0.00106118,0.00106118
28,162.538,1.26723,0.58809,1.01166,0,0,0,0,5.41803,4.94482,6.05647,0.00104703,0.00104703,0.00104703
29,168.409,1.18262,0.55823,0.95703,0,0,0,0,5.35804,4.72481,5.73676,0.00103288,0.00103288,0.00103288
30,174.219,1.24374,0.55348,0.97998,0,0,0,0,5.26349,4.57307,5.49431,0.00101873,0.00101873,0.00101873
31,179.918,1.21099,0.55537,0.96629,0,0,0,0,5.28543,4.53388,5.72339,0.00100459,0.00100459,0.00100459
32,185.579,1.2818,0.56042,0.99226,0,0,0,0,5.29875,4.30552,5.69064,0.00099044,0.00099044,0.00099044
33,191.23,1.28079,0.56656,0.98307,0,0,0,0,5.37545,4.35839,5.73066,0.000976293,0.000976293,0.000976293
34,196.733,1.2614,0.54229,0.98454,0,0,0,0,5.45421,4.54757,5.82827,0.000962146,0.000962146,0.000962146
35,202.224,1.1528,0.53027,0.97879,0,0,0,0,5.56048,4.36482,6.05079,0.000947999,0.000947999,0.000947999
36,207.738,1.17455,0.519,0.96073,0,0,0,0,5.59133,4.46988,6.15903,0.000933851,0.000933851,0.000933851
37,213.269,1.26169,0.54935,0.98453,0,0,0,0,5.71252,4.68609,6.38274,0.000919704,0.000919704,0.000919704
38,218.745,1.17892,0.53239,0.95983,0,0,0,0,5.8138,5.05532,6.66096,0.000905557,0.000905557,0.000905557
39,224.292,1.19817,0.51818,0.96953,0,0,0,0,5.8426,5.28115,6.81662,0.00089141,0.00089141,0.00089141
40,229.873,1.19951,0.52481,0.94573,0,0,0,0,5.82867,5.19168,6.82464,0.000877263,0.000877263,0.000877263
41,235.402,1.21877,0.51501,0.95605,0,0,0,0,5.76534,5.46483,6.7262,0.000863116,0.000863116,0.000863116
42,240.907,1.16839,0.50852,0.93836,0,0,0,0,5.70493,5.81552,6.53644,0.000848969,0.000848969,0.000848969
43,246.427,1.14763,0.49877,0.92605,0,0,0,0,5.68407,5.64625,6.38818,0.000834822,0.000834822,0.000834822
44,251.965,1.14346,0.48768,0.96425,0,0,0,0,5.65268,4.84197,6.32046,0.000820675,0.000820675,0.000820675
45,257.541,1.19362,0.49744,0.94474,0,0,0,0,5.64368,4.81006,6.41292,0.000806528,0.000806528,0.000806528
46,263.025,1.17514,0.47428,0.96817,0,0,0,0,5.66244,4.32317,6.46452,0.00079238,0.00079238,0.00079238
47,268.635,1.22885,0.49559,0.97845,0,0,0,0,5.65921,4.56754,6.25259,0.000778233,0.000778233,0.000778233
48,274.177,1.12489,0.47963,0.9238,0,0,0,0,5.66553,4.85609,6.31606,0.000764086,0.000764086,0.000764086
49,279.492,1.17153,0.47552,0.95527,0,0,0,0,5.68273,5.22565,6.41805,0.000749939,0.000749939,0.000749939
50,284.864,1.17894,0.48368,0.94753,0,0,0,0,5.68069,5.244,6.37983,0.000735792,0.000735792,0.000735792
51,290.268,1.2272,0.50025,0.95924,0,0,0,0,5.65672,5.04663,6.32156,0.000721645,0.000721645,0.000721645
52,295.58,1.17705,0.497,0.96016,0,0,0,0,5.6478,4.83548,6.28201,0.000707498,0.000707498,0.000707498
53,301.023,1.22256,0.48033,0.96081,0,0,0,0,5.66452,4.74794,6.17467,0.000693351,0.000693351,0.000693351
54,306.385,1.17758,0.49921,0.96556,0,0,0,0,5.69396,4.56683,6.10543,0.000679204,0.000679204,0.000679204
55,311.72,1.2114,0.49146,0.96433,0,0,0,0,5.67297,4.37045,6.1387,0.000665057,0.000665057,0.000665057
56,317.002,1.15956,0.46739,0.97484,0,0,0,0,5.64293,4.1998,6.26483,0.000650909,0.000650909,0.000650909
57,322.381,1.1466,0.48261,0.92492,0,0,0,0,5.63614,4.045,6.35717,0.000636762,0.000636762,0.000636762
58,327.84,1.18251,0.48286,0.97736,0,0,0,0,5.67315,4.0929,6.47433,0.000622615,0.000622615,0.000622615
59,333.128,1.19299,0.48421,0.96634,0,0,0,0,5.69931,4.25117,6.52944,0.000608468,0.000608468,0.000608468
60,338.528,1.16048,0.48368,0.94752,0,0,0,0,5.74543,4.88293,6.54069,0.000594321,0.000594321,0.000594321
61,344.177,1.12495,0.48108,0.96217,0,0,0,0,5.76999,5.36205,6.60259,0.000580174,0.000580174,0.000580174
62,349.702,1.21955,0.49089,0.96062,0,0,0,0,5.77003,5.29021,6.5039,0.000566027,0.000566027,0.000566027
63,355.385,1.14442,0.48809,0.94448,0,0,0,0,5.76486,5.08219,6.46196,0.00055188,0.00055188,0.00055188
64,360.971,1.20347,0.48212,0.94531,0,0,0,0,5.75855,5.14137,6.40634,0.000537733,0.000537733,0.000537733
65,366.578,1.17632,0.47257,0.94225,0,0,0,0,5.722,5.17517,6.31864,0.000523586,0.000523586,0.000523586
66,372.122,1.24956,0.47743,0.9951,0,0,0,0,5.69927,5.10042,6.31746,0.000509438,0.000509438,0.000509438
67,377.651,1.15793,0.45169,0.9444,0,0,0,0,5.6059,5.18003,6.11918,0.000495291,0.000495291,0.000495291
68,383.154,1.18007,0.46495,0.95734,0,0,0,0,5.47933,5.33259,5.82094,0.000481144,0.000481144,0.000481144
69,388.688,1.17209,0.45951,0.96113,0,0,0,0,5.29592,5.28351,5.48874,0.000466997,0.000466997,0.000466997
70,394.193,1.07909,0.45057,0.92378,0,0,0,0,5.14814,5.3193,5.21215,0.00045285,0.00045285,0.00045285
71,399.609,1.19239,0.45488,0.93831,0,0,0,0,5.15463,5.21058,5.20608,0.000438703,0.000438703,0.000438703
72,405.343,1.15222,0.46963,0.93551,0,0,0,0,5.21621,5.18486,5.30941,0.000424556,0.000424556,0.000424556
73,410.991,1.1614,0.45322,0.96078,0,0,0,0,5.25963,5.24399,5.36455,0.000410409,0.000410409,0.000410409
74,416.658,1.15819,0.45158,0.95459,0,0,0,0,5.39449,5.13391,5.6108,0.000396262,0.000396262,0.000396262
75,422.244,1.07798,0.4355,0.91771,0,0,0,0,5.44479,5.21259,5.70565,0.000382115,0.000382115,0.000382115
76,427.778,1.05424,0.44262,0.92258,0,0,0,0,5.49804,5.55017,5.89505,0.000367967,0.000367967,0.000367967
77,433.369,1.09715,0.4419,0.94781,0,0,0,0,5.48382,5.55317,5.88051,0.00035382,0.00035382,0.00035382
78,439.087,1.12139,0.4403,0.94172,0,0,0,0,5.43263,5.33785,5.73539,0.000339673,0.000339673,0.000339673
79,444.641,1.16873,0.46077,0.94538,0,0,0,0,5.41484,5.41997,5.68389,0.000325526,0.000325526,0.000325526
80,450.386,1.13108,0.43957,0.91311,0,0,0,0,5.41841,5.6245,5.72015,0.000311379,0.000311379,0.000311379
81,456.056,1.12184,0.4516,0.91778,0,0,0,0,5.50718,5.75176,5.98094,0.000297232,0.000297232,0.000297232
82,461.435,1.14355,0.45382,0.95112,0,0,0,0,5.5408,5.74308,6.06941,0.000283085,0.000283085,0.000283085
83,467.149,1.14139,0.44433,0.95602,0,0,0,0,5.58389,5.45614,6.14948,0.000268938,0.000268938,0.000268938
84,472.724,1.15857,0.45652,0.92946,0,0,0,0,5.59287,5.379,6.16634,0.000254791,0.000254791,0.000254791
85,478.255,1.16041,0.45354,0.96809,0,0,0,0,5.62318,5.39531,6.25318,0.000240644,0.000240644,0.000240644
86,483.866,1.11225,0.42997,0.93049,0,0,0,0,5.63451,5.41919,6.30223,0.000226497,0.000226497,0.000226497
87,489.527,1.11904,0.45005,0.92273,0,0,0,0,5.64935,5.56592,6.36454,0.000212349,0.000212349,0.000212349
88,495.095,1.13502,0.43949,0.9573,0,0,0,0,5.65635,5.41622,6.43744,0.000198202,0.000198202,0.000198202
89,500.657,1.08263,0.42466,0.92519,0,0,0,0,5.66338,5.29703,6.46781,0.000184055,0.000184055,0.000184055
90,506.125,1.13308,0.44458,0.93754,0,0,0,0,5.68715,5.19585,6.53605,0.000169908,0.000169908,0.000169908
91,511.61,1.14064,0.4236,0.93978,0,0,0,0,5.72632,6.14015,6.67696,0.000155761,0.000155761,0.000155761
92,517.116,1.14633,0.44002,0.95829,0,0,0,0,5.78663,8.17173,6.84709,0.000141614,0.000141614,0.000141614
93,522.624,1.13035,0.40349,0.99005,0,0,0,0,5.79653,8.72562,6.85474,0.000127467,0.000127467,0.000127467
94,527.945,1.14086,0.41608,0.99043,0,0,0,0,5.79599,8.54236,6.87495,0.00011332,0.00011332,0.00011332
95,533.369,1.1181,0.41248,0.98407,0,0,0,0,5.79708,8.47134,6.85499,9.91726e-05,9.91726e-05,9.91726e-05
96,538.77,1.10611,0.40643,0.98869,0,0,0,0,5.79576,8.48707,6.85717,8.50255e-05,8.50255e-05,8.50255e-05
97,544.175,1.11511,0.4133,0.95977,0,0,0,0,5.78885,8.49228,6.83689,7.08784e-05,7.08784e-05,7.08784e-05
98,549.653,1.10621,0.42003,0.92974,0,0,0,0,5.78736,8.94084,6.81156,5.67313e-05,5.67313e-05,5.67313e-05
99,554.971,1.11779,0.41471,0.96268,0,0,0,0,5.78489,8.95607,6.80373,4.25842e-05,4.25842e-05,4.25842e-05
100,560.325,1.09148,0.4014,0.9583,0,0,0,0,5.78042,8.72795,6.82075,2.84371e-05,2.84371e-05,2.84371e-05
