epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.87299,1.38929,3.28859,1.13809,0.4752,0.85417,0.56466,0.43381,0.88777,3.0179,0.92944,0.00027151,0.00027151,0.00027151
2,7.41035,0.9485,1.76819,0.95571,0.90179,0.95505,0.98067,0.78361,0.80984,1.65868,0.88736,0.000551793,0.000551793,0.000551793
3,10.8622,0.96431,1.39016,0.95013,0.80697,0.97917,0.95696,0.73776,0.86468,1.54101,0.94258,0.000826416,0.000826416,0.000826416
4,14.2965,0.91829,1.2064,0.9232,0.69577,0.92757,0.79326,0.58143,0.91811,2.73438,0.9519,0.00109538,0.00109538,0.00109538
5,17.6234,1.06485,1.04983,0.96815,0.76232,0.91667,0.85557,0.59532,1.07141,1.44823,1.03447,0.00135869,0.00135869,0.00135869
6,20.978,0.95703,1.00464,0.95048,0.93664,0.74356,0.94657,0.73248,0.82214,1.20764,0.9223,0.00135826,0.00135826,0.00135826
7,24.4176,0.96203,1.00499,0.95887,0.98975,0.97606,0.98891,0.71511,0.99184,0.73316,1.06005,0.00134412,0.00134412,0.00134412
8,27.7894,0.99256,0.73756,0.95168,0.95934,1,0.995,0.74813,0.99693,0.76631,0.98459,0.00132997,0.00132997,0.00132997
9,31.2507,0.96103,0.74837,0.94479,0.96235,1,0.995,0.75121,0.92206,0.72454,0.95835,0.00131582,0.00131582,0.00131582
10,34.658,0.92058,0.66742,0.92582,0.96283,0.99474,0.995,0.76471,0.89191,0.60133,0.93138,0.00130168,0.00130168,0.00130168
11,38.0378,0.98487,0.62352,0.95413,0.95383,0.91667,0.97219,0.71781,0.88409,0.71811,0.94528,0.00128753,0.00128753,0.00128753
12,41.4951,0.96294,0.67418,0.93818,0.98193,1,0.995,0.75226,0.86383,0.52876,0.89314,0.00127338,0.00127338,0.00127338
13,44.8504,0.90172,0.60659,0.93226,0.9857,1,0.995,0.76774,0.88937,0.56531,0.90829,0.00125923,0.00125923,0.00125923
14,48.3111,0.88603,0.61493,0.91621,0.99179,1,0.995,0.82278,0.77384,0.45671,0.87211,0.00124509,0.00124509,0.00124509
15,51.7575,0.87402,0.59633,0.92171,0.98144,1,0.995,0.80187,0.82121,0.46878,0.89553,0.00123094,0.00123094,0.00123094
16,55.2242,0.85668,0.53657,0.92385,0.97809,0.98068,0.995,0.76525,0.90226,0.45822,0.93093,0.00121679,0.00121679,0.00121679
17,58.6078,0.85406,0.55135,0.90471,0.97818,1,0.995,0.76645,0.85038,0.43383,0.91286,0.00120265,0.00120265,0.00120265
