epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.65133,0.85438,3.91941,0.98474,0.83777,0.95968,0.98022,0.48911,1.76146,2.45912,1.50462,0.000466807,0.000466807,0.000466807
2,13.341,0.92293,2.57014,0.99351,0.95393,0.68014,0.98418,0.52013,1.82828,2.20986,1.75377,0.000933803,0.000933803,0.000933803
3,19.8107,0.98076,3.07087,1.05081,0.73157,0.65386,0.71844,0.39866,1.53267,3.3431,1.20387,0.00139137,0.00139137,0.00139137
4,26.2581,1.116,2.38638,1.08063,0.88194,0.97905,0.995,0.51983,1.6896,1.55525,1.44668,0.00138656,0.00138656,0.00138656
5,32.8622,1.05322,1.6166,1.08575,0.7176,0.99209,0.99325,0.5003,1.7188,2.53468,1.67131,0.00137241,0.00137241,0.00137241
6,39.1202,1.14257,2.30299,1.14657,0.8544,0.66667,0.73961,0.33593,1.71049,2.48898,1.62852,0.00135826,0.00135826,0.00135826
7,45.4891,0.99163,1.73726,1.03107,0.7142,0.90196,0.86975,0.49883,1.56395,1.63223,1.33978,0.00134412,0.00134412,0.00134412
8,52.2878,0.95538,1.18328,1.03579,0.74257,1,0.96594,0.49691,1.78106,1.79355,1.54709,0.00132997,0.00132997,0.00132997
9,58.8981,1.00935,0.96345,1.04444,0.99406,1,0.995,0.543,1.60656,0.9851,1.28332,0.00131582,0.00131582,0.00131582
10,65.2474,0.93163,0.72917,1.02596,0.99257,1,0.995,0.57408,1.44374,0.82576,1.21878,0.00130168,0.00130168,0.00130168
11,71.7597,0.92219,0.74158,1.03471,0.99377,1,0.995,0.49782,1.81342,0.87287,1.59742,0.00128753,0.00128753,0.00128753
12,78.3823,0.86606,0.6088,0.99428,0.99403,1,0.995,0.49401,1.83398,0.72438,1.44909,0.00127338,0.00127338,0.00127338
13,84.9535,0.89186,0.56419,0.98201,0.99393,1,0.995,0.52642,1.59716,0.75199,1.28887,0.00125923,0.00125923,0.00125923
14,91.4625,0.86118,0.55972,0.95667,0.99477,1,0.995,0.56903,1.53375,0.75388,1.27417,0.00124509,0.00124509,0.00124509
15,98.1968,0.86919,0.58669,0.95631,0.9959,1,0.995,0.54741,1.71729,0.80187,1.40874,0.00123094,0.00123094,0.00123094
16,104.117,0.86094,0.618,0.96105,0.99314,1,0.995,0.53956,1.71674,0.76383,1.32686,0.00121679,0.00121679,0.00121679
17,110.007,0.86295,0.5158,0.94132,0.99288,1,0.995,0.53512,1.71693,0.70249,1.39066,0.00120265,0.00120265,0.00120265
18,115.885,0.87082,0.48811,0.96932,0.99614,1,0.995,0.58957,1.53107,0.66021,1.20854,0.0011885,0.0011885,0.0011885
19,121.715,0.80998,0.4758,0.9309,0.99448,1,0.995,0.56458,1.62656,0.66529,1.31221,0.00117435,0.00117435,0.00117435
